epoch,accuracy,loss,val_accuracy,val_loss
0,0.7238246202468872,0.9334844350814819,0.7064040899276733,1.0239462852478027
1,0.8609265089035034,0.43419355154037476,0.6871185898780823,1.2171298265457153
2,0.8915380835533142,0.3408098816871643,0.6325982809066772,1.682281255722046
3,0.9086123108863831,0.282522588968277,0.7038815021514893,1.2382169961929321
4,0.9237555265426636,0.23766353726387024,0.6062332391738892,2.0372512340545654
5,0.9302600026130676,0.2181786596775055,0.7536821365356445,1.3225901126861572
6,0.9633514285087585,0.11299896240234375,0.8873789310455322,0.39743486046791077
7,0.9700998067855835,0.09286654740571976,0.9050370454788208,0.3238689601421356
8,0.9723966717720032,0.08397752046585083,0.8701277375221252,0.5349521636962891
9,0.975059449672699,0.07736462354660034,0.8867279887199402,0.42899081110954285
10,0.9769904613494873,0.07186282426118851,0.9047115445137024,0.34831464290618896
11,0.9775799512863159,0.07001993805170059,0.8698022365570068,0.5574604868888855
12,0.9785149693489075,0.06464830785989761,0.8509235978126526,0.7679061889648438
13,0.9831493496894836,0.05206751823425293,0.9142322540283203,0.35859373211860657
14,0.9845112562179565,0.04700617864727974,0.9142322540283203,0.3360980749130249
15,0.985141396522522,0.04481618478894234,0.9087802171707153,0.3623569905757904
16,0.9856495261192322,0.042403291910886765,0.9191960096359253,0.3212641179561615
17,0.9853852987289429,0.04276641830801964,0.9130930304527283,0.37739798426628113
18,0.9859747290611267,0.04218878597021103,0.8907966613769531,0.4695846736431122
19,0.9861373901367188,0.0410156212747097,0.9129302501678467,0.3685731887817383
20,0.9858731031417847,0.04142700508236885,0.9058507680892944,0.39623433351516724
21,0.9864829182624817,0.03989283740520477,0.9266010522842407,0.293977290391922
22,0.9878650903701782,0.036938898265361786,0.9130930304527283,0.40024611353874207
23,0.9881700277328491,0.03642091527581215,0.9061762690544128,0.41918882727622986
24,0.9876211881637573,0.03693799301981926,0.9195215106010437,0.33870160579681396
25,0.987702488899231,0.0357513353228569,0.9188705086708069,0.3591664135456085
26,0.9876211881637573,0.0363825298845768,0.9209862351417542,0.34347003698349
27,0.988759458065033,0.033872783184051514,0.9097567200660706,0.40915560722351074
28,0.9899181127548218,0.031156089156866074,0.9125233888626099,0.3999476432800293
29,0.9893489480018616,0.03263634815812111,0.9140694737434387,0.38630950450897217
30,0.9899587631225586,0.031010175123810768,0.9177312850952148,0.3578196167945862
31,0.9899384379386902,0.030740886926651,0.9149646162986755,0.3730715811252594
